Edge TPU Compiler version 16.0.384591198
Input: tf2_ssd_mobilenet_v2_coco17_ptq.tflite
Output: tf2_ssd_mobilenet_v2_coco17_ptq_edgetpu.tflite

Operator                       Count      Status

CONCATENATION                  2          Mapped to Edge TPU
LOGISTIC                       1          Mapped to Edge TPU
DEPTHWISE_CONV_2D              17         Mapped to Edge TPU
DEQUANTIZE                     2          Operation is working on an unsupported data type
QUANTIZE                       1          Mapped to Edge TPU
CONV_2D                        55         Mapped to Edge TPU
CUSTOM                         1          Operation is working on an unsupported data type
ADD                            10         Mapped to Edge TPU
RESHAPE                        13         Mapped to Edge TPU
